iter	RMSE
0	223965.2331
1	217999.5848
2	212293.5694
3	206669.5911
4	201230.7
5	195960.0167
6	190935.1839
7	186057.0826
8	181250.501
9	176539.3917
10	172168.8816
11	167791.5439
12	163751.4994
13	159663.7993
14	155723.6108
15	151885.4789
16	148188.4617
17	144579.457
18	141104.0028
19	137866.1491
20	134622.5523
21	131519.5028
22	128494.7161
23	125595.3261
24	122769.6307
25	120030.1001
26	117350.3941
27	114853.1314
28	112360.3496
29	110012.2546
30	107704.6776
31	105534.2217
32	103399.4321
33	101303.6019
34	99292.33553
35	97391.54158
36	95576.68079
37	93847.01108
38	92053.19893
39	90440.30402
40	88826.23886
41	87269.87089
42	85712.61444
43	84236.7189
44	82920.57575
45	81666.95865
46	80452.08176
47	79239.04096
48	78019.05297
49	76859.11633
50	75807.04654
51	74781.20256
52	73794.97477
53	72765.23813
54	71853.62971
55	70990.74265
56	70113.32219
57	69363.22948
58	68554.30717
59	67787.21735
60	67056.11328
61	66393.75419
62	65771.6297
63	65139.75902
64	64474.02182
65	63750.79313
66	63178.70101
67	62603.93043
68	62032.87991
69	61485.07271
70	61028.30639
71	60546.23581
72	60064.56776
73	59651.24584
74	59220.34679
75	58795.36664
76	58405.74137
77	57988.07636
78	57676.46809
79	57344.11004
80	56958.52334
81	56548.11223
82	56236.47477
83	55952.61387
84	55664.55397
85	55327.69109
86	55069.78709
87	54833.88437
88	54590.77921
89	54328.6221
90	54044.00533
91	53819.25276
92	53602.56726
93	53347.65009
94	53185.97282
95	52977.28787
96	52707.29686
97	52593.51617
98	52436.66172
99	52281.19053
100	52103.10195
101	51915.71222
102	51774.37054
103	51608.72783
104	51471.78845
105	51342.12762
106	51192.61983
107	51030.45175
108	50889.86534
109	50751.36612
110	50555.47618
111	50451.99005
112	50312.80623
113	50152.60907
114	50043.37376
115	49911.04649
116	49773.13726
117	49639.03235
118	49531.59719
119	49422.04981
120	49292.16582
121	49221.95681
122	49149.21586
123	49045.10797
124	48964.4627
125	48850.31723
126	48759.24743
127	48671.60939
128	48572.28575
129	48502.93566
130	48441.23058
131	48372.49934
132	48267.04879
133	48219.36833
134	48127.83403
135	48059.1902
136	48007.2102
137	47973.12347
138	47941.08016
139	47912.00202
140	47838.7666
141	47794.48395
142	47769.13168
143	47735.91417
144	47687.65792
145	47646.31899
146	47599.80093
147	47497.09173
148	47485.26631
149	47428.15346
150	47371.94068
151	47333.64094
152	47304.80483
153	47233.58412
154	47173.36704
155	47139.60028
156	47078.77172
157	47054.98478
158	47016.60428
159	46964.97977
160	46902.61818
161	46883.41772
162	46872.42603
163	46849.28356
164	46805.92669
165	46732.15443
166	46681.82775
167	46589.86883
168	46494.09282
169	46481.80254
170	46437.9397
171	46379.82674
172	46356.45556
173	46301.22567
174	46267.13132
175	46213.44396
176	46159.01984
177	46108.19828
178	46082.16244
179	46071.12098
180	46062.91579
181	46038.51247
182	46014.5167
183	46009.51823
184	45996.56685
185	45952.65177
186	45870.67315
187	45832.23915
188	45811.75957
189	45725.47797
190	45674.98282
191	45624.90352
192	45617.33064
193	45613.81931
194	45578.96706
195	45564.92646
196	45558.41631
197	45536.09331
198	45504.89707
199	45468.41843
200	45461.74715
201	45404.59934
202	45395.05556
203	45391.40132
204	45350.3828
205	45308.51845
206	45301.0114
207	45269.18245
208	45268.74159
209	45253.47314
210	45246.40865
211	45239.76756
212	45211.03323
213	45198.58015
214	45188.97749
215	45174.70219
216	45113.83936
217	45057.56652
218	45043.71874
219	45037.43397
220	45026.58372
221	44976.18659
222	44975.16219
223	44957.37955
224	44953.16164
225	44905.30403
226	44900.04553
227	44893.73223
228	44891.47407
229	44872.20239
230	44868.09521
231	44860.27075
232	44837.48577
233	44799.84704
234	44796.18249
235	44792.21855
236	44785.27953
237	44745.62454
238	44738.11601
239	44716.81752
240	44711.32011
241	44703.08303
242	44700.34973
243	44642.61429
244	44637.95426
245	44598.49338
246	44582.52742
247	44566.98366
248	44540.9753
249	44524.3805
250	44492.50368
251	44491.17793
252	44490.12766
253	44402.05733
254	44357.0621
255	44343.41534
256	44300.42478
257	44288.97483
258	44230.78951
259	44211.9501
260	44141.98613
261	44138.94498
262	44085.69635
263	44082.95323
264	44065.05145
265	44063.51564
266	44024.7677
267	44013.4326
268	43993.87389
269	43955.67307
270	43936.50896
271	43933.56151
272	43917.42003
273	43893.75703
274	43878.47293
275	43877.77233
276	43872.05985
277	43865.69115
278	43810.65677
279	43807.34726
280	43807.22644
281	43797.45921
282	43773.29495
283	43765.8169
284	43764.22295
285	43738.74944
286	43727.00741
287	43663.19796
288	43650.33877
289	43603.95314
290	43555.68
291	43554.49662
292	43553.46625
293	43492.87042
294	43491.39339
295	43491.12915
296	43485.84641
297	43480.70473
298	43469.79447
299	43458.62737
300	43456.59098
301	43445.8309
302	43429.20505
303	43427.45087
304	43387.24692
305	43356.75629
306	43355.06167
307	43352.54329
308	43350.96693
309	43350.93216
310	43345.13223
311	43345.0126
312	43336.19744
313	43328.26412
314	43306.01745
315	43251.79148
316	43249.26077
317	43248.95547
318	43248.79644
319	43181.00346
320	43175.85611
321	43175.76019
322	43174.52821
323	43141.39634
324	43141.27132
325	43118.84208
326	43116.73017
327	43116.09689
328	43107.31133
329	43106.90354
330	43080.99358
331	43079.93594
332	43062.049
333	43061.98574
334	43056.65156
335	43056.41708
336	42992.51745
337	42992.11079
