iter	Passed	Remaining
0	138	137965
1	212	106234
2	253	84378
3	334	83274
4	411	81925
5	491	81404
6	572	81259
7	583	72366
8	596	65712
9	608	60276
10	615	55358
11	691	56962
12	765	58105
13	781	55051
14	853	56026
15	893	54964
16	965	55851
17	978	53398
18	1054	54446
19	1062	52052
20	1085	50601
21	1095	48684
22	1166	49557
23	1245	50649
24	1262	49231
25	1338	50134
26	1417	51097
27	1498	52011
28	1523	51004
29	1560	50454
30	1639	51251
31	1650	49939
32	1727	50606
33	1803	51227
34	1882	51894
35	1963	52585
36	2042	53147
37	2119	53662
38	2199	54196
39	2212	53088
40	2286	53474
41	2364	53940
42	2446	54438
43	2469	53660
44	2490	52853
45	2503	51918
46	2510	50908
47	2585	51286
48	2665	51737
49	2747	52193
50	2757	51309
51	2794	50954
52	2806	50137
53	2882	50501
54	2964	50943
55	3050	51415
56	3133	51838
57	3144	51076
58	3165	50488
59	3244	50826
60	3325	51192
61	3337	50496
62	3358	49947
63	3431	50182
64	3512	50521
65	3593	50856
66	3612	50299
67	3686	50522
68	3766	50823
69	3847	51116
70	3919	51287
71	4003	51602
72	4082	51844
73	4163	52097
74	4243	52333
75	4283	52079
76	4356	52226
77	4435	52425
78	4513	52613
79	4538	52187
80	4614	52351
81	4694	52550
82	4776	52770
83	4857	52967
84	4936	53137
85	5017	53325
86	5097	53498
87	5123	53096
88	5160	52824
89	5238	52968
90	5317	53113
91	5394	53244
92	5473	53382
93	5552	53516
94	5568	53048
95	5643	53147
96	5725	53302
97	5739	52822
98	5815	52930
99	5888	53000
100	5962	53074
101	6048	53251
102	6126	53350
103	6203	53448
104	6284	53566
105	6301	53144
106	6376	53216
107	6455	53313
108	6534	53414
109	6614	53520
110	6696	53633
111	6720	53284
112	6797	53358
113	6877	53449
114	6952	53507
115	7032	53595
116	7112	53681
117	7192	53757
118	7271	53830
119	7352	53916
120	7435	54012
121	7510	54048
122	7534	53722
123	7611	53770
124	7691	53838
125	7770	53901
126	7846	53936
127	7926	54000
128	8000	54021
129	8087	54124
130	8172	54210
131	8216	54028
132	8302	54121
133	8330	53834
134	8414	53913
135	8496	53976
136	8580	54053
137	8594	53683
138	8604	53298
139	8612	52904
140	8688	52933
141	8767	52976
142	8847	53023
143	8872	52740
144	8892	52437
145	8970	52469
146	9043	52476
147	9125	52535
148	9133	52166
149	9209	52187
150	9291	52239
151	9369	52272
152	9410	52095
153	9485	52108
154	9564	52144
155	9642	52169
156	9721	52198
157	9738	51897
158	9772	51691
159	9850	51713
160	9930	51748
161	9953	51490
162	9961	51152
163	9973	50840
164	10047	50845
165	10127	50880
166	10205	50904
167	10285	50937
168	10364	50966
169	10376	50663
170	10449	50657
171	10529	50686
172	10600	50674
173	10679	50698
174	10692	50406
175	10766	50407
176	10845	50426
177	10925	50453
178	11004	50475
179	11020	50205
180	11026	49894
181	11035	49600
182	11070	49422
183	11078	49130
184	11087	48842
185	11163	48853
186	11241	48871
187	11322	48903
188	11338	48651
189	11374	48492
190	11451	48505
191	11524	48497
192	11537	48241
193	11543	47958
194	11579	47801
195	11655	47813
196	11734	47830
197	11810	47839
198	11834	47637
199	11910	47643
200	11952	47511
201	12030	47524
202	12106	47533
203	12117	47281
204	12193	47288
205	12274	47310
206	12291	47086
207	12367	47090
208	12372	46827
209	12454	46850
210	12470	46631
211	12479	46386
212	12555	46389
213	12635	46410
214	12655	46208
215	12727	46196
216	12806	46208
217	12876	46189
218	12893	45980
219	12910	45773
220	12928	45570
221	12961	45424
222	12967	45184
223	13040	45174
224	13047	44940
225	13118	44928
226	13134	44726
227	13141	44495
228	13144	44256
229	13149	44022
230	13181	43880
231	13200	43698
232	13273	43695
233	13348	43695
234	13355	43475
235	13364	43265
236	13397	43133
237	13471	43132
238	13494	42968
239	13569	42969
240	13644	42970
241	13664	42798
242	13669	42582
243	13741	42575
244	13815	42573
245	13891	42578
246	13960	42559
247	14029	42542
248	14105	42542
249	14174	42523
250	14248	42518
251	14268	42352
252	14273	42142
253	14345	42132
254	14421	42134
255	14442	41972
256	14516	41967
257	14536	41805
258	14607	41793
259	14684	41793
260	14759	41790
261	14833	41783
262	14910	41782
263	14922	41603
264	14988	41571
265	15001	41394
266	15073	41380
267	15148	41375
